,index,Country,Correlation
0,88,"Korea, South",-0.93
1,84,Japan,-0.89
2,70,Guyana,-0.89
3,45,Diamond Princess,-0.89
4,24,Bulgaria,-0.87
5,152,Sudan,-0.84
6,94,Lebanon,-0.83
7,78,Iran,-0.82
8,67,Guatemala,-0.82
9,8,Australia,-0.81
10,140,San Marino,-0.8
11,79,Iraq,-0.77
12,157,Taiwan*,-0.77
13,34,China,-0.75
14,82,Italy,-0.74
15,167,Ukraine,-0.72
16,130,Philippines,-0.7
17,131,Poland,-0.68
18,123,Norway,-0.68
19,2,Algeria,-0.68
20,1,Albania,-0.68
21,109,Moldova,-0.68
22,10,Azerbaijan,-0.67
23,159,Thailand,-0.67
24,83,Jamaica,-0.66
25,6,Argentina,-0.65
26,12,Bahrain,-0.64
27,50,Egypt,-0.64
28,41,Cuba,-0.64
30,65,Greece,-0.63
29,77,Indonesia,-0.63
31,75,Iceland,-0.62
32,99,Luxembourg,-0.62
33,38,Costa Rica,-0.62
34,126,Panama,-0.61
35,76,India,-0.61
36,60,Gabon,-0.6
37,155,Switzerland,-0.6
38,168,United Arab Emirates,-0.6
39,30,Canada,-0.6
40,74,Hungary,-0.59
41,169,United Kingdom,-0.59
42,150,Spain,-0.58
43,59,France,-0.57
44,13,Bangladesh,-0.57
47,44,Denmark,-0.56
45,117,Netherlands,-0.56
46,125,Pakistan,-0.56
48,63,Germany,-0.55
49,147,Slovenia,-0.55
50,165,US,-0.55
51,49,Ecuador,-0.54
52,143,Serbia,-0.54
53,102,Malaysia,-0.54
61,176,Zimbabwe,-0.52
65,80,Ireland,-0.52
64,25,Burkina Faso,-0.52
63,61,Gambia,-0.52
62,9,Austria,-0.52
60,154,Sweden,-0.52
54,129,Peru,-0.52
58,145,Singapore,-0.52
57,112,Montenegro,-0.52
56,163,Tunisia,-0.52
55,121,Nigeria,-0.52
59,107,Mauritius,-0.52
66,40,Croatia,-0.51
67,22,Brazil,-0.5
68,108,Mexico,-0.5
69,16,Belgium,-0.5
70,135,Russia,-0.5
72,122,North Macedonia,-0.49
71,113,Morocco,-0.49
73,164,Turkey,-0.48
74,64,Ghana,-0.47
75,132,Portugal,-0.47
76,146,Slovakia,-0.46
77,48,Dominican Republic,-0.46
78,35,Colombia,-0.46
82,33,Chile,-0.45
79,37,Congo (Kinshasa),-0.45
80,128,Paraguay,-0.45
81,21,Bosnia and Herzegovina,-0.45
83,42,Cyprus,-0.44
84,134,Romania,-0.43
85,98,Lithuania,-0.42
86,27,Cabo Verde,-0.41
87,3,Andorra,-0.41
88,0,Afghanistan,-0.4
89,43,Czechia,-0.39
90,141,Saudi Arabia,-0.37
91,81,Israel,-0.37
92,58,Finland,-0.37
93,86,Kazakhstan,-0.37
94,120,Niger,-0.33
95,54,Estonia,-0.33
97,29,Cameroon,-0.31
96,162,Trinidad and Tobago,-0.31
98,174,West Bank and Gaza,-0.25
99,7,Armenia,-0.25
100,87,Kenya,-0.25
101,73,Honduras,-0.25
102,89,Kosovo,-0.25
103,119,Nicaragua,-0.19
104,161,Togo,-0.19
105,149,South Africa,-0.19
106,85,Jordan,-0.19
107,171,Uzbekistan,-0.19
108,172,Venezuela,-0.19
